controller_path,module,class_route_prefix,route_count,route_names
"Maintainers/Hospital/DosageTypeController.php","Maintainers/Hospital","/maintainers/hospital/dosage-type",6,"app_maintainers_hospital_dosage_type_index;app_maintainers_hospital_dosage_type_create;app_maintainers_hospital_dosage_type_edit;app_maintainers_hospital_dosage_type_delete;app_maintainers_hospital_dosage_type_export;tipos_posologia_"
"Maintainers/Hospital/EatingDisorderHistoryController.php","Maintainers/Hospital","/maintainers/hospital/eating-disorder-history",6,"app_maintainers_hospital_eating_disorder_history_index;app_maintainers_hospital_eating_disorder_history_create;app_maintainers_hospital_eating_disorder_history_edit;app_maintainers_hospital_eating_disorder_history_delete;app_maintainers_hospital_eating_disorder_history_export;antecedentes_tca_"
"Maintainers/Hospital/IntoxicationStateController.php","Maintainers/Hospital","/maintainers/hospital/intoxication-state",6,"app_maintainers_hospital_intoxication_state_index;app_maintainers_hospital_intoxication_state_create;app_maintainers_hospital_intoxication_state_edit;app_maintainers_hospital_intoxication_state_delete;app_maintainers_hospital_intoxication_state_export;estados_ebriedad_"
"Maintainers/Hospital/MedicalDeviceController.php","Maintainers/Hospital","/maintainers/hospital/medical-device",6,"app_maintainers_hospital_medical_device_index;app_maintainers_hospital_medical_device_create;app_maintainers_hospital_medical_device_edit;app_maintainers_hospital_medical_device_delete;app_maintainers_hospital_medical_device_export;dispositivos_medicos_"
"Maintainers/Hospital/NutritionalDiagnosisController.php","Maintainers/Hospital","/maintainers/hospital/nutritional-diagnosis",6,"app_maintainers_hospital_nutritional_diagnosis_index;app_maintainers_hospital_nutritional_diagnosis_create;app_maintainers_hospital_nutritional_diagnosis_edit;app_maintainers_hospital_nutritional_diagnosis_delete;app_maintainers_hospital_nutritional_diagnosis_export;diagnosticos_nutricionales_"
"Maintainers/Hospital/NutritionistBmiIndexController.php","Maintainers/Hospital","/maintainers/hospital/nutritionist-bmi-index",6,"app_maintainers_hospital_nutritionist_bmi_index_index;app_maintainers_hospital_nutritionist_bmi_index_create;app_maintainers_hospital_nutritionist_bmi_index_edit;app_maintainers_hospital_nutritionist_bmi_index_delete;app_maintainers_hospital_nutritionist_bmi_index_export;indices_imc_"
"Maintainers/Hospital/NutritionistIndexClassificationController.php","Maintainers/Hospital","/maintainers/hospital/nutritionist-index-classification",6,"app_maintainers_hospital_nutritionist_index_classification_index;app_maintainers_hospital_nutritionist_index_classification_create;app_maintainers_hospital_nutritionist_index_classification_edit;app_maintainers_hospital_nutritionist_index_classification_delete;app_maintainers_hospital_nutritionist_index_classification_export;clasificaciones_indices_"
"Maintainers/Hospital/NutritionistTeIndexController.php","Maintainers/Hospital","/maintainers/hospital/nutritionist-te-index",6,"app_maintainers_hospital_nutritionist_te_index_index;app_maintainers_hospital_nutritionist_te_index_create;app_maintainers_hospital_nutritionist_te_index_edit;app_maintainers_hospital_nutritionist_te_index_delete;app_maintainers_hospital_nutritionist_te_index_export;indices_te_"
"Maintainers/Hospital/PhysicalExamBaseFieldController.php","Maintainers/Hospital","/maintainers/hospital/physical-exam-base-field",6,"app_maintainers_hospital_physical_exam_base_field_index;app_maintainers_hospital_physical_exam_base_field_create;app_maintainers_hospital_physical_exam_base_field_edit;app_maintainers_hospital_physical_exam_base_field_delete;app_maintainers_hospital_physical_exam_base_field_export;campos_base_examen_fisico_"
"Maintainers/Hospital/PhysicalExamFieldController.php","Maintainers/Hospital","/maintainers/hospital/physical-exam-field",6,"app_maintainers_hospital_physical_exam_field_index;app_maintainers_hospital_physical_exam_field_create;app_maintainers_hospital_physical_exam_field_edit;app_maintainers_hospital_physical_exam_field_delete;app_maintainers_hospital_physical_exam_field_export;campos_examen_fisico_"
"Maintainers/Hospital/PhysicalExamGroupingController.php","Maintainers/Hospital","/maintainers/hospital/physical-exam-grouping",6,"app_maintainers_hospital_physical_exam_grouping_index;app_maintainers_hospital_physical_exam_grouping_create;app_maintainers_hospital_physical_exam_grouping_edit;app_maintainers_hospital_physical_exam_grouping_delete;app_maintainers_hospital_physical_exam_grouping_export;agrupaciones_examen_fisico_"
"Maintainers/Hospital/PrescriptionDispensationController.php","Maintainers/Hospital","/maintainers/hospital/prescription-dispensation",6,"app_maintainers_hospital_prescription_dispensation_index;app_maintainers_hospital_prescription_dispensation_create;app_maintainers_hospital_prescription_dispensation_edit;app_maintainers_hospital_prescription_dispensation_delete;app_maintainers_hospital_prescription_dispensation_export;dispensaciones_receta_"
"Maintainers/Hospital/PrescriptionDosageController.php","Maintainers/Hospital","/maintainers/hospital/prescription-dosage",6,"app_maintainers_hospital_prescription_dosage_index;app_maintainers_hospital_prescription_dosage_create;app_maintainers_hospital_prescription_dosage_edit;app_maintainers_hospital_prescription_dosage_delete;app_maintainers_hospital_prescription_dosage_export;dosis_receta_"
"Maintainers/Hospital/PrescriptionFormatController.php","Maintainers/Hospital","/maintainers/hospital/prescription-format",6,"app_maintainers_hospital_prescription_format_index;app_maintainers_hospital_prescription_format_create;app_maintainers_hospital_prescription_format_edit;app_maintainers_hospital_prescription_format_delete;app_maintainers_hospital_prescription_format_export;formatos_receta_"
